Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,03-04-2024,11,240
CQ,Clarke Quay,03-04-2024,11,87
FN,Funan,03-04-2024,11,207
PS,Plaza Singapura,03-04-2024,11,464
RCS,Raffles City,03-04-2024,11,542
TAO,The Atrium@Orchard,03-04-2024,11,3
BM,Bedok Mall,03-04-2024,11,134
TM,Tampines Mall,03-04-2024,11,463
BPP,Bukit Panjang Plaza,03-04-2024,11,213
J8,Junction 8,03-04-2024,11,160
LO,Lot One,03-04-2024,11,232
IMM,IMM,03-04-2024,11,673
WG,Westgate,03-04-2024,11,338
CG,CapitaGreen,03-04-2024,11,67
CT,Capital Tower,03-04-2024,11,0
SBR,Six Battery Road,03-04-2024,11,39
CS,CapitaSpring,03-04-2024,11,169
