Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,12-04-2024,21,60
CQ,Clarke Quay,12-04-2024,21,0
FN,Funan,12-04-2024,21,169
PS,Plaza Singapura,12-04-2024,21,259
RCS,Raffles City,12-04-2024,21,392
TAO,The Atrium@Orchard,12-04-2024,21,17
BM,Bedok Mall,12-04-2024,21,97
TM,Tampines Mall,12-04-2024,21,286
BPP,Bukit Panjang Plaza,12-04-2024,21,220
J8,Junction 8,12-04-2024,21,145
LO,Lot One,12-04-2024,21,182
IMM,IMM,12-04-2024,21,641
WG,Westgate,12-04-2024,21,227
CG,CapitaGreen,12-04-2024,21,136
CT,Capital Tower,12-04-2024,21,63
SBR,Six Battery Road,12-04-2024,21,119
CS,CapitaSpring,12-04-2024,21,166
