Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,01-04-2024,16,191
CQ,Clarke Quay,01-04-2024,16,134
FN,Funan,01-04-2024,16,167
PS,Plaza Singapura,01-04-2024,16,385
RCS,Raffles City,01-04-2024,16,532
TAO,The Atrium@Orchard,01-04-2024,16,9
BM,Bedok Mall,01-04-2024,16,83
TM,Tampines Mall,01-04-2024,16,352
BPP,Bukit Panjang Plaza,01-04-2024,16,231
J8,Junction 8,01-04-2024,16,115
LO,Lot One,01-04-2024,16,195
IMM,IMM,01-04-2024,16,509
WG,Westgate,01-04-2024,16,283
CG,CapitaGreen,01-04-2024,16,75
CT,Capital Tower,01-04-2024,16,15
SBR,Six Battery Road,01-04-2024,16,49
CS,CapitaSpring,01-04-2024,16,186
