Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,14-04-2024,16,104
CQ,Clarke Quay,14-04-2024,16,185
FN,Funan,14-04-2024,16,94
PS,Plaza Singapura,14-04-2024,16,214
RCS,Raffles City,14-04-2024,16,600
TAO,The Atrium@Orchard,14-04-2024,16,47
BM,Bedok Mall,14-04-2024,16,20
TM,Tampines Mall,14-04-2024,16,189
BPP,Bukit Panjang Plaza,14-04-2024,16,171
J8,Junction 8,14-04-2024,16,103
LO,Lot One,14-04-2024,16,108
IMM,IMM,14-04-2024,16,390
WG,Westgate,14-04-2024,16,138
CG,CapitaGreen,14-04-2024,16,171
CT,Capital Tower,14-04-2024,16,40
SBR,Six Battery Road,14-04-2024,16,151
CS,CapitaSpring,14-04-2024,16,347
