Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,11-04-2024,16,190
CQ,Clarke Quay,11-04-2024,16,87
FN,Funan,11-04-2024,16,160
PS,Plaza Singapura,11-04-2024,16,374
RCS,Raffles City,11-04-2024,16,469
TAO,The Atrium@Orchard,11-04-2024,16,5
BM,Bedok Mall,11-04-2024,16,104
TM,Tampines Mall,11-04-2024,16,311
BPP,Bukit Panjang Plaza,11-04-2024,16,233
J8,Junction 8,11-04-2024,16,121
LO,Lot One,11-04-2024,16,214
IMM,IMM,11-04-2024,16,484
WG,Westgate,11-04-2024,16,250
CG,CapitaGreen,11-04-2024,16,54
CT,Capital Tower,11-04-2024,16,25
SBR,Six Battery Road,11-04-2024,16,22
CS,CapitaSpring,11-04-2024,16,157
