Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,05-04-2024,12,192
CQ,Clarke Quay,05-04-2024,12,93
FN,Funan,05-04-2024,12,205
PS,Plaza Singapura,05-04-2024,12,302
RCS,Raffles City,05-04-2024,12,403
TAO,The Atrium@Orchard,05-04-2024,12,3
BM,Bedok Mall,05-04-2024,12,24
TM,Tampines Mall,05-04-2024,12,341
BPP,Bukit Panjang Plaza,05-04-2024,12,117
J8,Junction 8,05-04-2024,12,61
LO,Lot One,05-04-2024,12,162
IMM,IMM,05-04-2024,12,421
WG,Westgate,05-04-2024,12,212
CG,CapitaGreen,05-04-2024,12,109
CT,Capital Tower,05-04-2024,12,0
SBR,Six Battery Road,05-04-2024,12,64
CS,CapitaSpring,05-04-2024,12,195
