Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,12-04-2024,17,180
CQ,Clarke Quay,12-04-2024,17,109
FN,Funan,12-04-2024,17,149
PS,Plaza Singapura,12-04-2024,17,350
RCS,Raffles City,12-04-2024,17,509
TAO,The Atrium@Orchard,12-04-2024,17,6
BM,Bedok Mall,12-04-2024,17,96
TM,Tampines Mall,12-04-2024,17,367
BPP,Bukit Panjang Plaza,12-04-2024,17,226
J8,Junction 8,12-04-2024,17,117
LO,Lot One,12-04-2024,17,189
IMM,IMM,12-04-2024,17,504
WG,Westgate,12-04-2024,17,230
CG,CapitaGreen,12-04-2024,17,96
CT,Capital Tower,12-04-2024,17,0
SBR,Six Battery Road,12-04-2024,17,81
CS,CapitaSpring,12-04-2024,17,181
