Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,03-04-2024,12,178
CQ,Clarke Quay,03-04-2024,12,51
FN,Funan,03-04-2024,12,162
PS,Plaza Singapura,03-04-2024,12,343
RCS,Raffles City,03-04-2024,12,381
TAO,The Atrium@Orchard,03-04-2024,12,0
BM,Bedok Mall,03-04-2024,12,25
TM,Tampines Mall,03-04-2024,12,343
BPP,Bukit Panjang Plaza,03-04-2024,12,169
J8,Junction 8,03-04-2024,12,61
LO,Lot One,03-04-2024,12,178
IMM,IMM,03-04-2024,12,408
WG,Westgate,03-04-2024,12,181
CG,CapitaGreen,03-04-2024,12,76
CT,Capital Tower,03-04-2024,12,0
SBR,Six Battery Road,03-04-2024,12,43
CS,CapitaSpring,03-04-2024,12,152
