Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,02-04-2024,15,212
CQ,Clarke Quay,02-04-2024,15,60
FN,Funan,02-04-2024,15,146
PS,Plaza Singapura,02-04-2024,15,382
RCS,Raffles City,02-04-2024,15,424
TAO,The Atrium@Orchard,02-04-2024,15,7
BM,Bedok Mall,02-04-2024,15,80
TM,Tampines Mall,02-04-2024,15,406
BPP,Bukit Panjang Plaza,02-04-2024,15,197
J8,Junction 8,02-04-2024,15,100
LO,Lot One,02-04-2024,15,194
IMM,IMM,02-04-2024,15,493
WG,Westgate,02-04-2024,15,245
CG,CapitaGreen,02-04-2024,15,61
CT,Capital Tower,02-04-2024,15,0
SBR,Six Battery Road,02-04-2024,15,33
CS,CapitaSpring,02-04-2024,15,166
