Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,15-04-2024,13,173
CQ,Clarke Quay,15-04-2024,13,38
FN,Funan,15-04-2024,13,155
PS,Plaza Singapura,15-04-2024,13,328
RCS,Raffles City,15-04-2024,13,266
TAO,The Atrium@Orchard,15-04-2024,13,8
BM,Bedok Mall,15-04-2024,13,27
TM,Tampines Mall,15-04-2024,13,330
BPP,Bukit Panjang Plaza,15-04-2024,13,175
J8,Junction 8,15-04-2024,13,67
LO,Lot One,15-04-2024,13,161
IMM,IMM,15-04-2024,13,326
WG,Westgate,15-04-2024,13,198
CG,CapitaGreen,15-04-2024,13,62
CT,Capital Tower,15-04-2024,13,0
SBR,Six Battery Road,15-04-2024,13,24
CS,CapitaSpring,15-04-2024,13,174
