Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,07-04-2024,14,84
CQ,Clarke Quay,07-04-2024,14,159
FN,Funan,07-04-2024,14,47
PS,Plaza Singapura,07-04-2024,14,51
RCS,Raffles City,07-04-2024,14,322
TAO,The Atrium@Orchard,07-04-2024,14,29
BM,Bedok Mall,07-04-2024,14,0
TM,Tampines Mall,07-04-2024,14,19
BPP,Bukit Panjang Plaza,07-04-2024,14,103
J8,Junction 8,07-04-2024,14,11
LO,Lot One,07-04-2024,14,102
IMM,IMM,07-04-2024,14,231
WG,Westgate,07-04-2024,14,42
CG,CapitaGreen,07-04-2024,14,161
CT,Capital Tower,07-04-2024,14,30
SBR,Six Battery Road,07-04-2024,14,148
CS,CapitaSpring,07-04-2024,14,336
