Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,13-04-2024,09,278
CQ,Clarke Quay,13-04-2024,09,241
FN,Funan,13-04-2024,09,337
PS,Plaza Singapura,13-04-2024,09,596
RCS,Raffles City,13-04-2024,09,808
TAO,The Atrium@Orchard,13-04-2024,09,28
BM,Bedok Mall,13-04-2024,09,191
TM,Tampines Mall,13-04-2024,09,483
BPP,Bukit Panjang Plaza,13-04-2024,09,268
J8,Junction 8,13-04-2024,09,188
LO,Lot One,13-04-2024,09,269
IMM,IMM,13-04-2024,09,1122
WG,Westgate,13-04-2024,09,437
CG,CapitaGreen,13-04-2024,09,165
CT,Capital Tower,13-04-2024,09,43
SBR,Six Battery Road,13-04-2024,09,155
CS,CapitaSpring,13-04-2024,09,337
