Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,11-04-2024,19,183
CQ,Clarke Quay,11-04-2024,19,118
FN,Funan,11-04-2024,19,135
PS,Plaza Singapura,11-04-2024,19,322
RCS,Raffles City,11-04-2024,19,476
TAO,The Atrium@Orchard,11-04-2024,19,14
BM,Bedok Mall,11-04-2024,19,12
TM,Tampines Mall,11-04-2024,19,210
BPP,Bukit Panjang Plaza,11-04-2024,19,151
J8,Junction 8,11-04-2024,19,93
LO,Lot One,11-04-2024,19,137
IMM,IMM,11-04-2024,19,476
WG,Westgate,11-04-2024,19,159
CG,CapitaGreen,11-04-2024,19,151
CT,Capital Tower,11-04-2024,19,19
SBR,Six Battery Road,11-04-2024,19,78
CS,CapitaSpring,11-04-2024,19,155
