Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,07-04-2024,20,190
CQ,Clarke Quay,07-04-2024,20,140
FN,Funan,07-04-2024,20,216
PS,Plaza Singapura,07-04-2024,20,290
RCS,Raffles City,07-04-2024,20,641
TAO,The Atrium@Orchard,07-04-2024,20,74
BM,Bedok Mall,07-04-2024,20,66
TM,Tampines Mall,07-04-2024,20,151
BPP,Bukit Panjang Plaza,07-04-2024,20,152
J8,Junction 8,07-04-2024,20,135
LO,Lot One,07-04-2024,20,124
IMM,IMM,07-04-2024,20,502
WG,Westgate,07-04-2024,20,150
CG,CapitaGreen,07-04-2024,20,180
CT,Capital Tower,07-04-2024,20,31
SBR,Six Battery Road,07-04-2024,20,152
CS,CapitaSpring,07-04-2024,20,338
