Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,13-04-2024,16,91
CQ,Clarke Quay,13-04-2024,16,160
FN,Funan,13-04-2024,16,69
PS,Plaza Singapura,13-04-2024,16,116
RCS,Raffles City,13-04-2024,16,538
TAO,The Atrium@Orchard,13-04-2024,16,61
BM,Bedok Mall,13-04-2024,16,53
TM,Tampines Mall,13-04-2024,16,204
BPP,Bukit Panjang Plaza,13-04-2024,16,205
J8,Junction 8,13-04-2024,16,74
LO,Lot One,13-04-2024,16,167
IMM,IMM,13-04-2024,16,490
WG,Westgate,13-04-2024,16,120
CG,CapitaGreen,13-04-2024,16,158
CT,Capital Tower,13-04-2024,16,35
SBR,Six Battery Road,13-04-2024,16,140
CS,CapitaSpring,13-04-2024,16,334
