Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,11-04-2024,17,214
CQ,Clarke Quay,11-04-2024,17,97
FN,Funan,11-04-2024,17,185
PS,Plaza Singapura,11-04-2024,17,421
RCS,Raffles City,11-04-2024,17,549
TAO,The Atrium@Orchard,11-04-2024,17,4
BM,Bedok Mall,11-04-2024,17,93
TM,Tampines Mall,11-04-2024,17,316
BPP,Bukit Panjang Plaza,11-04-2024,17,216
J8,Junction 8,11-04-2024,17,127
LO,Lot One,11-04-2024,17,190
IMM,IMM,11-04-2024,17,532
WG,Westgate,11-04-2024,17,272
CG,CapitaGreen,11-04-2024,17,84
CT,Capital Tower,11-04-2024,17,21
SBR,Six Battery Road,11-04-2024,17,22
CS,CapitaSpring,11-04-2024,17,158
