Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,06-04-2024,16,65
CQ,Clarke Quay,06-04-2024,16,188
FN,Funan,06-04-2024,16,24
PS,Plaza Singapura,06-04-2024,16,137
RCS,Raffles City,06-04-2024,16,506
TAO,The Atrium@Orchard,06-04-2024,16,47
BM,Bedok Mall,06-04-2024,16,45
TM,Tampines Mall,06-04-2024,16,79
BPP,Bukit Panjang Plaza,06-04-2024,16,181
J8,Junction 8,06-04-2024,16,99
LO,Lot One,06-04-2024,16,155
IMM,IMM,06-04-2024,16,360
WG,Westgate,06-04-2024,16,78
CG,CapitaGreen,06-04-2024,16,170
CT,Capital Tower,06-04-2024,16,48
SBR,Six Battery Road,06-04-2024,16,150
CS,CapitaSpring,06-04-2024,16,336
