Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,04-04-2024,18,223
CQ,Clarke Quay,04-04-2024,18,161
FN,Funan,04-04-2024,18,185
PS,Plaza Singapura,04-04-2024,18,398
RCS,Raffles City,04-04-2024,18,530
TAO,The Atrium@Orchard,04-04-2024,18,7
BM,Bedok Mall,04-04-2024,18,70
TM,Tampines Mall,04-04-2024,18,346
BPP,Bukit Panjang Plaza,04-04-2024,18,191
J8,Junction 8,04-04-2024,18,123
LO,Lot One,04-04-2024,18,187
IMM,IMM,04-04-2024,18,580
WG,Westgate,04-04-2024,18,257
CG,CapitaGreen,04-04-2024,18,112
CT,Capital Tower,04-04-2024,18,41
SBR,Six Battery Road,04-04-2024,18,44
CS,CapitaSpring,04-04-2024,18,176
