Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,11-04-2024,09,295
CQ,Clarke Quay,11-04-2024,09,197
FN,Funan,11-04-2024,09,333
PS,Plaza Singapura,11-04-2024,09,637
RCS,Raffles City,11-04-2024,09,778
TAO,The Atrium@Orchard,11-04-2024,09,33
BM,Bedok Mall,11-04-2024,09,213
TM,Tampines Mall,11-04-2024,09,601
BPP,Bukit Panjang Plaza,11-04-2024,09,283
J8,Junction 8,11-04-2024,09,241
LO,Lot One,11-04-2024,09,271
IMM,IMM,11-04-2024,09,952
WG,Westgate,11-04-2024,09,474
CG,CapitaGreen,11-04-2024,09,120
CT,Capital Tower,11-04-2024,09,0
SBR,Six Battery Road,11-04-2024,09,103
CS,CapitaSpring,11-04-2024,09,256
