Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,05-04-2024,13,169
CQ,Clarke Quay,05-04-2024,13,81
FN,Funan,05-04-2024,13,155
PS,Plaza Singapura,05-04-2024,13,259
RCS,Raffles City,05-04-2024,13,328
TAO,The Atrium@Orchard,05-04-2024,13,3
BM,Bedok Mall,05-04-2024,13,17
TM,Tampines Mall,05-04-2024,13,314
BPP,Bukit Panjang Plaza,05-04-2024,13,136
J8,Junction 8,05-04-2024,13,40
LO,Lot One,05-04-2024,13,157
IMM,IMM,05-04-2024,13,369
WG,Westgate,05-04-2024,13,157
CG,CapitaGreen,05-04-2024,13,107
CT,Capital Tower,05-04-2024,13,0
SBR,Six Battery Road,05-04-2024,13,67
CS,CapitaSpring,05-04-2024,13,199
