Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,14-04-2024,09,279
CQ,Clarke Quay,14-04-2024,09,243
FN,Funan,14-04-2024,09,340
PS,Plaza Singapura,14-04-2024,09,626
RCS,Raffles City,14-04-2024,09,846
TAO,The Atrium@Orchard,14-04-2024,09,62
BM,Bedok Mall,14-04-2024,09,197
TM,Tampines Mall,14-04-2024,09,537
BPP,Bukit Panjang Plaza,14-04-2024,09,264
J8,Junction 8,14-04-2024,09,229
LO,Lot One,14-04-2024,09,274
IMM,IMM,14-04-2024,09,1176
WG,Westgate,14-04-2024,09,457
CG,CapitaGreen,14-04-2024,09,166
CT,Capital Tower,14-04-2024,09,41
SBR,Six Battery Road,14-04-2024,09,156
CS,CapitaSpring,14-04-2024,09,349
