Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,13-04-2024,14,108
CQ,Clarke Quay,13-04-2024,14,124
FN,Funan,13-04-2024,14,38
PS,Plaza Singapura,13-04-2024,14,80
RCS,Raffles City,13-04-2024,14,366
TAO,The Atrium@Orchard,13-04-2024,14,3
BM,Bedok Mall,13-04-2024,14,18
TM,Tampines Mall,13-04-2024,14,103
BPP,Bukit Panjang Plaza,13-04-2024,14,156
J8,Junction 8,13-04-2024,14,25
LO,Lot One,13-04-2024,14,137
IMM,IMM,13-04-2024,14,448
WG,Westgate,13-04-2024,14,14
CG,CapitaGreen,13-04-2024,14,159
CT,Capital Tower,13-04-2024,14,31
SBR,Six Battery Road,13-04-2024,14,137
CS,CapitaSpring,13-04-2024,14,319
