Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,02-04-2024,16,214
CQ,Clarke Quay,02-04-2024,16,79
FN,Funan,02-04-2024,16,173
PS,Plaza Singapura,02-04-2024,16,400
RCS,Raffles City,02-04-2024,16,491
TAO,The Atrium@Orchard,02-04-2024,16,4
BM,Bedok Mall,02-04-2024,16,71
TM,Tampines Mall,02-04-2024,16,388
BPP,Bukit Panjang Plaza,02-04-2024,16,198
J8,Junction 8,02-04-2024,16,98
LO,Lot One,02-04-2024,16,202
IMM,IMM,02-04-2024,16,567
WG,Westgate,02-04-2024,16,279
CG,CapitaGreen,02-04-2024,16,74
CT,Capital Tower,02-04-2024,16,0
SBR,Six Battery Road,02-04-2024,16,31
CS,CapitaSpring,02-04-2024,16,174
