Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,12-04-2024,10,265
CQ,Clarke Quay,12-04-2024,10,157
FN,Funan,12-04-2024,10,266
PS,Plaza Singapura,12-04-2024,10,568
RCS,Raffles City,12-04-2024,10,627
TAO,The Atrium@Orchard,12-04-2024,10,15
BM,Bedok Mall,12-04-2024,10,153
TM,Tampines Mall,12-04-2024,10,524
BPP,Bukit Panjang Plaza,12-04-2024,10,248
J8,Junction 8,12-04-2024,10,184
LO,Lot One,12-04-2024,10,261
IMM,IMM,12-04-2024,10,754
WG,Westgate,12-04-2024,10,424
CG,CapitaGreen,12-04-2024,10,85
CT,Capital Tower,12-04-2024,10,0
SBR,Six Battery Road,12-04-2024,10,86
CS,CapitaSpring,12-04-2024,10,206
