Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,09-04-2024,22,109
CQ,Clarke Quay,09-04-2024,22,45
FN,Funan,09-04-2024,22,299
PS,Plaza Singapura,09-04-2024,22,566
RCS,Raffles City,09-04-2024,22,797
TAO,The Atrium@Orchard,09-04-2024,22,40
BM,Bedok Mall,09-04-2024,22,198
TM,Tampines Mall,09-04-2024,22,535
BPP,Bukit Panjang Plaza,09-04-2024,22,274
J8,Junction 8,09-04-2024,22,225
LO,Lot One,09-04-2024,22,256
IMM,IMM,09-04-2024,22,959
WG,Westgate,09-04-2024,22,500
CG,CapitaGreen,09-04-2024,22,164
CT,Capital Tower,09-04-2024,22,61
SBR,Six Battery Road,09-04-2024,22,41
CS,CapitaSpring,09-04-2024,22,153
