Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,16-04-2024,22,198
CQ,Clarke Quay,16-04-2024,22,147
FN,Funan,16-04-2024,22,307
PS,Plaza Singapura,16-04-2024,22,632
RCS,Raffles City,16-04-2024,22,598
TAO,The Atrium@Orchard,16-04-2024,22,42
BM,Bedok Mall,16-04-2024,22,218
TM,Tampines Mall,16-04-2024,22,596
BPP,Bukit Panjang Plaza,16-04-2024,22,313
J8,Junction 8,16-04-2024,22,259
LO,Lot One,16-04-2024,22,292
IMM,IMM,16-04-2024,22,1019
WG,Westgate,16-04-2024,22,523
CG,CapitaGreen,16-04-2024,22,164
CT,Capital Tower,16-04-2024,22,0
SBR,Six Battery Road,16-04-2024,22,48
CS,CapitaSpring,16-04-2024,22,157
