Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,31-03-2024,14,63
CQ,Clarke Quay,31-03-2024,14,208
FN,Funan,31-03-2024,14,74
PS,Plaza Singapura,31-03-2024,14,94
RCS,Raffles City,31-03-2024,14,271
TAO,The Atrium@Orchard,31-03-2024,14,28
BM,Bedok Mall,31-03-2024,14,0
TM,Tampines Mall,31-03-2024,14,75
BPP,Bukit Panjang Plaza,31-03-2024,14,110
J8,Junction 8,31-03-2024,14,14
LO,Lot One,31-03-2024,14,86
IMM,IMM,31-03-2024,14,261
WG,Westgate,31-03-2024,14,0
CG,CapitaGreen,31-03-2024,14,129
CT,Capital Tower,31-03-2024,14,23
SBR,Six Battery Road,31-03-2024,14,142
CS,CapitaSpring,31-03-2024,14,323
