Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,30-03-2024,19,71
CQ,Clarke Quay,30-03-2024,19,78
FN,Funan,30-03-2024,19,16
PS,Plaza Singapura,30-03-2024,19,40
RCS,Raffles City,30-03-2024,19,324
TAO,The Atrium@Orchard,30-03-2024,19,45
BM,Bedok Mall,30-03-2024,19,2
TM,Tampines Mall,30-03-2024,19,13
BPP,Bukit Panjang Plaza,30-03-2024,19,136
J8,Junction 8,30-03-2024,19,36
LO,Lot One,30-03-2024,19,83
IMM,IMM,30-03-2024,19,307
WG,Westgate,30-03-2024,19,0
CG,CapitaGreen,30-03-2024,19,171
CT,Capital Tower,30-03-2024,19,27
SBR,Six Battery Road,30-03-2024,19,135
CS,CapitaSpring,30-03-2024,19,313
