Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,08-04-2024,19,190
CQ,Clarke Quay,08-04-2024,19,157
FN,Funan,08-04-2024,19,216
PS,Plaza Singapura,08-04-2024,19,357
RCS,Raffles City,08-04-2024,19,504
TAO,The Atrium@Orchard,08-04-2024,19,17
BM,Bedok Mall,08-04-2024,19,49
TM,Tampines Mall,08-04-2024,19,267
BPP,Bukit Panjang Plaza,08-04-2024,19,187
J8,Junction 8,08-04-2024,19,122
LO,Lot One,08-04-2024,19,160
IMM,IMM,08-04-2024,19,503
WG,Westgate,08-04-2024,19,221
CG,CapitaGreen,08-04-2024,19,159
CT,Capital Tower,08-04-2024,19,22
SBR,Six Battery Road,08-04-2024,19,102
CS,CapitaSpring,08-04-2024,19,140
