Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,03-04-2024,14,196
CQ,Clarke Quay,03-04-2024,14,80
FN,Funan,03-04-2024,14,108
PS,Plaza Singapura,03-04-2024,14,351
RCS,Raffles City,03-04-2024,14,403
TAO,The Atrium@Orchard,03-04-2024,14,0
BM,Bedok Mall,03-04-2024,14,68
TM,Tampines Mall,03-04-2024,14,381
BPP,Bukit Panjang Plaza,03-04-2024,14,177
J8,Junction 8,03-04-2024,14,124
LO,Lot One,03-04-2024,14,201
IMM,IMM,03-04-2024,14,487
WG,Westgate,03-04-2024,14,221
CG,CapitaGreen,03-04-2024,14,76
CT,Capital Tower,03-04-2024,14,0
SBR,Six Battery Road,03-04-2024,14,39
CS,CapitaSpring,03-04-2024,14,158
