Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,08-04-2024,15,210
CQ,Clarke Quay,08-04-2024,15,80
FN,Funan,08-04-2024,15,164
PS,Plaza Singapura,08-04-2024,15,380
RCS,Raffles City,08-04-2024,15,428
TAO,The Atrium@Orchard,08-04-2024,15,5
BM,Bedok Mall,08-04-2024,15,83
TM,Tampines Mall,08-04-2024,15,342
BPP,Bukit Panjang Plaza,08-04-2024,15,201
J8,Junction 8,08-04-2024,15,98
LO,Lot One,08-04-2024,15,197
IMM,IMM,08-04-2024,15,478
WG,Westgate,08-04-2024,15,258
CG,CapitaGreen,08-04-2024,15,88
CT,Capital Tower,08-04-2024,15,32
SBR,Six Battery Road,08-04-2024,15,34
CS,CapitaSpring,08-04-2024,15,142
