Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,31-03-2024,18,139
CQ,Clarke Quay,31-03-2024,18,149
FN,Funan,31-03-2024,18,152
PS,Plaza Singapura,31-03-2024,18,221
RCS,Raffles City,31-03-2024,18,604
TAO,The Atrium@Orchard,31-03-2024,18,51
BM,Bedok Mall,31-03-2024,18,0
TM,Tampines Mall,31-03-2024,18,46
BPP,Bukit Panjang Plaza,31-03-2024,18,149
J8,Junction 8,31-03-2024,18,43
LO,Lot One,31-03-2024,18,120
IMM,IMM,31-03-2024,18,347
WG,Westgate,31-03-2024,18,17
CG,CapitaGreen,31-03-2024,18,179
CT,Capital Tower,31-03-2024,18,21
SBR,Six Battery Road,31-03-2024,18,150
CS,CapitaSpring,31-03-2024,18,344
