Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,08-04-2024,14,188
CQ,Clarke Quay,08-04-2024,14,78
FN,Funan,08-04-2024,14,163
PS,Plaza Singapura,08-04-2024,14,377
RCS,Raffles City,08-04-2024,14,363
TAO,The Atrium@Orchard,08-04-2024,14,7
BM,Bedok Mall,08-04-2024,14,69
TM,Tampines Mall,08-04-2024,14,316
BPP,Bukit Panjang Plaza,08-04-2024,14,228
J8,Junction 8,08-04-2024,14,107
LO,Lot One,08-04-2024,14,176
IMM,IMM,08-04-2024,14,445
WG,Westgate,08-04-2024,14,245
CG,CapitaGreen,08-04-2024,14,84
CT,Capital Tower,08-04-2024,14,38
SBR,Six Battery Road,08-04-2024,14,39
CS,CapitaSpring,08-04-2024,14,144
