Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,30-03-2024,17,95
CQ,Clarke Quay,30-03-2024,17,213
FN,Funan,30-03-2024,17,73
PS,Plaza Singapura,30-03-2024,17,145
RCS,Raffles City,30-03-2024,17,534
TAO,The Atrium@Orchard,30-03-2024,17,46
BM,Bedok Mall,30-03-2024,17,28
TM,Tampines Mall,30-03-2024,17,145
BPP,Bukit Panjang Plaza,30-03-2024,17,200
J8,Junction 8,30-03-2024,17,79
LO,Lot One,30-03-2024,17,163
IMM,IMM,30-03-2024,17,399
WG,Westgate,30-03-2024,17,0
CG,CapitaGreen,30-03-2024,17,171
CT,Capital Tower,30-03-2024,17,31
SBR,Six Battery Road,30-03-2024,17,136
CS,CapitaSpring,30-03-2024,17,337
