Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,10-04-2024,16,11
CQ,Clarke Quay,10-04-2024,16,183
FN,Funan,10-04-2024,16,57
PS,Plaza Singapura,10-04-2024,16,123
RCS,Raffles City,10-04-2024,16,582
TAO,The Atrium@Orchard,10-04-2024,16,47
BM,Bedok Mall,10-04-2024,16,58
TM,Tampines Mall,10-04-2024,16,165
BPP,Bukit Panjang Plaza,10-04-2024,16,215
J8,Junction 8,10-04-2024,16,82
LO,Lot One,10-04-2024,16,153
IMM,IMM,10-04-2024,16,137
WG,Westgate,10-04-2024,16,57
CG,CapitaGreen,10-04-2024,16,166
CT,Capital Tower,10-04-2024,16,49
SBR,Six Battery Road,10-04-2024,16,150
CS,CapitaSpring,10-04-2024,16,331
