Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,05-04-2024,09,299
CQ,Clarke Quay,05-04-2024,09,201
FN,Funan,05-04-2024,09,341
PS,Plaza Singapura,05-04-2024,09,655
RCS,Raffles City,05-04-2024,09,776
TAO,The Atrium@Orchard,05-04-2024,09,36
BM,Bedok Mall,05-04-2024,09,225
TM,Tampines Mall,05-04-2024,09,581
BPP,Bukit Panjang Plaza,05-04-2024,09,131
J8,Junction 8,05-04-2024,09,249
LO,Lot One,05-04-2024,09,290
IMM,IMM,05-04-2024,09,930
WG,Westgate,05-04-2024,09,503
CG,CapitaGreen,05-04-2024,09,131
CT,Capital Tower,05-04-2024,09,0
SBR,Six Battery Road,05-04-2024,09,117
CS,CapitaSpring,05-04-2024,09,260
