Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,12-04-2024,15,169
CQ,Clarke Quay,12-04-2024,15,108
FN,Funan,12-04-2024,15,114
PS,Plaza Singapura,12-04-2024,15,307
RCS,Raffles City,12-04-2024,15,394
TAO,The Atrium@Orchard,12-04-2024,15,4
BM,Bedok Mall,12-04-2024,15,57
TM,Tampines Mall,12-04-2024,15,306
BPP,Bukit Panjang Plaza,12-04-2024,15,220
J8,Junction 8,12-04-2024,15,106
LO,Lot One,12-04-2024,15,163
IMM,IMM,12-04-2024,15,403
WG,Westgate,12-04-2024,15,225
CG,CapitaGreen,12-04-2024,15,72
CT,Capital Tower,12-04-2024,15,0
SBR,Six Battery Road,12-04-2024,15,64
CS,CapitaSpring,12-04-2024,15,180
