Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,04-04-2024,09,304
CQ,Clarke Quay,04-04-2024,09,211
FN,Funan,04-04-2024,09,328
PS,Plaza Singapura,04-04-2024,09,641
RCS,Raffles City,04-04-2024,09,763
TAO,The Atrium@Orchard,04-04-2024,09,32
BM,Bedok Mall,04-04-2024,09,217
TM,Tampines Mall,04-04-2024,09,586
BPP,Bukit Panjang Plaza,04-04-2024,09,288
J8,Junction 8,04-04-2024,09,240
LO,Lot One,04-04-2024,09,286
IMM,IMM,04-04-2024,09,948
WG,Westgate,04-04-2024,09,492
CG,CapitaGreen,04-04-2024,09,119
CT,Capital Tower,04-04-2024,09,0
SBR,Six Battery Road,04-04-2024,09,109
CS,CapitaSpring,04-04-2024,09,251
