Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,31-03-2024,11,211
CQ,Clarke Quay,31-03-2024,11,253
FN,Funan,31-03-2024,11,240
PS,Plaza Singapura,31-03-2024,11,344
RCS,Raffles City,31-03-2024,11,609
TAO,The Atrium@Orchard,31-03-2024,11,57
BM,Bedok Mall,31-03-2024,11,42
TM,Tampines Mall,31-03-2024,11,238
BPP,Bukit Panjang Plaza,31-03-2024,11,189
J8,Junction 8,31-03-2024,11,88
LO,Lot One,31-03-2024,11,170
IMM,IMM,31-03-2024,11,771
WG,Westgate,31-03-2024,11,153
CG,CapitaGreen,31-03-2024,11,137
CT,Capital Tower,31-03-2024,11,23
SBR,Six Battery Road,31-03-2024,11,146
CS,CapitaSpring,31-03-2024,11,344
