Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,10-04-2024,13,4
CQ,Clarke Quay,10-04-2024,13,118
FN,Funan,10-04-2024,13,16
PS,Plaza Singapura,10-04-2024,13,4
RCS,Raffles City,10-04-2024,13,238
TAO,The Atrium@Orchard,10-04-2024,13,32
BM,Bedok Mall,10-04-2024,13,0
TM,Tampines Mall,10-04-2024,13,11
BPP,Bukit Panjang Plaza,10-04-2024,13,140
J8,Junction 8,10-04-2024,13,5
LO,Lot One,10-04-2024,13,92
IMM,IMM,10-04-2024,13,36
WG,Westgate,10-04-2024,13,0
CG,CapitaGreen,10-04-2024,13,167
CT,Capital Tower,10-04-2024,13,51
SBR,Six Battery Road,10-04-2024,13,142
CS,CapitaSpring,10-04-2024,13,302
