Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,07-04-2024,09,291
CQ,Clarke Quay,07-04-2024,09,276
FN,Funan,07-04-2024,09,343
PS,Plaza Singapura,07-04-2024,09,646
RCS,Raffles City,07-04-2024,09,882
TAO,The Atrium@Orchard,07-04-2024,09,77
BM,Bedok Mall,07-04-2024,09,207
TM,Tampines Mall,07-04-2024,09,547
BPP,Bukit Panjang Plaza,07-04-2024,09,285
J8,Junction 8,07-04-2024,09,244
LO,Lot One,07-04-2024,09,268
IMM,IMM,07-04-2024,09,1156
WG,Westgate,07-04-2024,09,497
CG,CapitaGreen,07-04-2024,09,165
CT,Capital Tower,07-04-2024,09,34
SBR,Six Battery Road,07-04-2024,09,157
CS,CapitaSpring,07-04-2024,09,350
