Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,04-04-2024,20,154
CQ,Clarke Quay,04-04-2024,20,131
FN,Funan,04-04-2024,20,146
PS,Plaza Singapura,04-04-2024,20,319
RCS,Raffles City,04-04-2024,20,528
TAO,The Atrium@Orchard,04-04-2024,20,19
BM,Bedok Mall,04-04-2024,20,73
TM,Tampines Mall,04-04-2024,20,211
BPP,Bukit Panjang Plaza,04-04-2024,20,199
J8,Junction 8,04-04-2024,20,94
LO,Lot One,04-04-2024,20,183
IMM,IMM,04-04-2024,20,587
WG,Westgate,04-04-2024,20,185
CG,CapitaGreen,04-04-2024,20,139
CT,Capital Tower,04-04-2024,20,38
SBR,Six Battery Road,04-04-2024,20,41
CS,CapitaSpring,04-04-2024,20,174
