Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,07-04-2024,16,85
CQ,Clarke Quay,07-04-2024,16,201
FN,Funan,07-04-2024,16,89
PS,Plaza Singapura,07-04-2024,16,158
RCS,Raffles City,07-04-2024,16,593
TAO,The Atrium@Orchard,07-04-2024,16,51
BM,Bedok Mall,07-04-2024,16,47
TM,Tampines Mall,07-04-2024,16,84
BPP,Bukit Panjang Plaza,07-04-2024,16,159
J8,Junction 8,07-04-2024,16,70
LO,Lot One,07-04-2024,16,142
IMM,IMM,07-04-2024,16,304
WG,Westgate,07-04-2024,16,90
CG,CapitaGreen,07-04-2024,16,170
CT,Capital Tower,07-04-2024,16,31
SBR,Six Battery Road,07-04-2024,16,148
CS,CapitaSpring,07-04-2024,16,350
