Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,12-04-2024,18,187
CQ,Clarke Quay,12-04-2024,18,121
FN,Funan,12-04-2024,18,161
PS,Plaza Singapura,12-04-2024,18,300
RCS,Raffles City,12-04-2024,18,441
TAO,The Atrium@Orchard,12-04-2024,18,4
BM,Bedok Mall,12-04-2024,18,58
TM,Tampines Mall,12-04-2024,18,288
BPP,Bukit Panjang Plaza,12-04-2024,18,177
J8,Junction 8,12-04-2024,18,93
LO,Lot One,12-04-2024,18,147
IMM,IMM,12-04-2024,18,441
WG,Westgate,12-04-2024,18,133
CG,CapitaGreen,12-04-2024,18,118
CT,Capital Tower,12-04-2024,18,64
SBR,Six Battery Road,12-04-2024,18,104
CS,CapitaSpring,12-04-2024,18,177
