Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,02-04-2024,22,223
CQ,Clarke Quay,02-04-2024,22,193
FN,Funan,02-04-2024,22,340
PS,Plaza Singapura,02-04-2024,22,624
RCS,Raffles City,02-04-2024,22,882
TAO,The Atrium@Orchard,02-04-2024,22,42
BM,Bedok Mall,02-04-2024,22,237
TM,Tampines Mall,02-04-2024,22,581
BPP,Bukit Panjang Plaza,02-04-2024,22,291
J8,Junction 8,02-04-2024,22,256
LO,Lot One,02-04-2024,22,269
IMM,IMM,02-04-2024,22,1006
WG,Westgate,02-04-2024,22,530
CG,CapitaGreen,02-04-2024,22,174
CT,Capital Tower,02-04-2024,22,71
SBR,Six Battery Road,02-04-2024,22,25
CS,CapitaSpring,02-04-2024,22,167
