Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,07-04-2024,13,99
CQ,Clarke Quay,07-04-2024,13,131
FN,Funan,07-04-2024,13,98
PS,Plaza Singapura,07-04-2024,13,76
RCS,Raffles City,07-04-2024,13,248
TAO,The Atrium@Orchard,07-04-2024,13,26
BM,Bedok Mall,07-04-2024,13,0
TM,Tampines Mall,07-04-2024,13,13
BPP,Bukit Panjang Plaza,07-04-2024,13,49
J8,Junction 8,07-04-2024,13,9
LO,Lot One,07-04-2024,13,69
IMM,IMM,07-04-2024,13,260
WG,Westgate,07-04-2024,13,3
CG,CapitaGreen,07-04-2024,13,163
CT,Capital Tower,07-04-2024,13,28
SBR,Six Battery Road,07-04-2024,13,152
CS,CapitaSpring,07-04-2024,13,331
