Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,06-04-2024,13,101
CQ,Clarke Quay,06-04-2024,13,123
FN,Funan,06-04-2024,13,46
PS,Plaza Singapura,06-04-2024,13,6
RCS,Raffles City,06-04-2024,13,365
TAO,The Atrium@Orchard,06-04-2024,13,3
BM,Bedok Mall,06-04-2024,13,0
TM,Tampines Mall,06-04-2024,13,4
BPP,Bukit Panjang Plaza,06-04-2024,13,111
J8,Junction 8,06-04-2024,13,29
LO,Lot One,06-04-2024,13,62
IMM,IMM,06-04-2024,13,356
WG,Westgate,06-04-2024,13,1
CG,CapitaGreen,06-04-2024,13,161
CT,Capital Tower,06-04-2024,13,41
SBR,Six Battery Road,06-04-2024,13,140
CS,CapitaSpring,06-04-2024,13,311
