Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,15-04-2024,20,183
CQ,Clarke Quay,15-04-2024,20,69
FN,Funan,15-04-2024,20,240
PS,Plaza Singapura,15-04-2024,20,416
RCS,Raffles City,15-04-2024,20,564
TAO,The Atrium@Orchard,15-04-2024,20,22
BM,Bedok Mall,15-04-2024,20,88
TM,Tampines Mall,15-04-2024,20,307
BPP,Bukit Panjang Plaza,15-04-2024,20,212
J8,Junction 8,15-04-2024,20,133
LO,Lot One,15-04-2024,20,170
IMM,IMM,15-04-2024,20,663
WG,Westgate,15-04-2024,20,246
CG,CapitaGreen,15-04-2024,20,151
CT,Capital Tower,15-04-2024,20,0
SBR,Six Battery Road,15-04-2024,20,28
CS,CapitaSpring,15-04-2024,20,151
