Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,15-04-2024,17,208
CQ,Clarke Quay,15-04-2024,17,82
FN,Funan,15-04-2024,17,215
PS,Plaza Singapura,15-04-2024,17,465
RCS,Raffles City,15-04-2024,17,505
TAO,The Atrium@Orchard,15-04-2024,17,9
BM,Bedok Mall,15-04-2024,17,84
TM,Tampines Mall,15-04-2024,17,381
BPP,Bukit Panjang Plaza,15-04-2024,17,235
J8,Junction 8,15-04-2024,17,122
LO,Lot One,15-04-2024,17,214
IMM,IMM,15-04-2024,17,572
WG,Westgate,15-04-2024,17,291
CG,CapitaGreen,15-04-2024,17,77
CT,Capital Tower,15-04-2024,17,0
SBR,Six Battery Road,15-04-2024,17,32
CS,CapitaSpring,15-04-2024,17,153
