Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,30-03-2024,21,89
CQ,Clarke Quay,30-03-2024,21,66
FN,Funan,30-03-2024,21,175
PS,Plaza Singapura,30-03-2024,21,278
RCS,Raffles City,30-03-2024,21,576
TAO,The Atrium@Orchard,30-03-2024,21,71
BM,Bedok Mall,30-03-2024,21,112
TM,Tampines Mall,30-03-2024,21,233
BPP,Bukit Panjang Plaza,30-03-2024,21,240
J8,Junction 8,30-03-2024,21,152
LO,Lot One,30-03-2024,21,178
IMM,IMM,30-03-2024,21,754
WG,Westgate,30-03-2024,21,112
CG,CapitaGreen,30-03-2024,21,171
CT,Capital Tower,30-03-2024,21,30
SBR,Six Battery Road,30-03-2024,21,134
CS,CapitaSpring,30-03-2024,21,322
