Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,14-04-2024,14,58
CQ,Clarke Quay,14-04-2024,14,125
FN,Funan,14-04-2024,14,65
PS,Plaza Singapura,14-04-2024,14,100
RCS,Raffles City,14-04-2024,14,345
TAO,The Atrium@Orchard,14-04-2024,14,18
BM,Bedok Mall,14-04-2024,14,0
TM,Tampines Mall,14-04-2024,14,76
BPP,Bukit Panjang Plaza,14-04-2024,14,105
J8,Junction 8,14-04-2024,14,18
LO,Lot One,14-04-2024,14,77
IMM,IMM,14-04-2024,14,365
WG,Westgate,14-04-2024,14,0
CG,CapitaGreen,14-04-2024,14,168
CT,Capital Tower,14-04-2024,14,38
SBR,Six Battery Road,14-04-2024,14,142
CS,CapitaSpring,14-04-2024,14,341
