Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,02-04-2024,12,190
CQ,Clarke Quay,02-04-2024,12,61
FN,Funan,02-04-2024,12,156
PS,Plaza Singapura,02-04-2024,12,341
RCS,Raffles City,02-04-2024,12,346
TAO,The Atrium@Orchard,02-04-2024,12,3
BM,Bedok Mall,02-04-2024,12,30
TM,Tampines Mall,02-04-2024,12,335
BPP,Bukit Panjang Plaza,02-04-2024,12,199
J8,Junction 8,02-04-2024,12,61
LO,Lot One,02-04-2024,12,176
IMM,IMM,02-04-2024,12,441
WG,Westgate,02-04-2024,12,157
CG,CapitaGreen,02-04-2024,12,65
CT,Capital Tower,02-04-2024,12,0
SBR,Six Battery Road,02-04-2024,12,53
CS,CapitaSpring,02-04-2024,12,167
