Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,06-04-2024,22,151
CQ,Clarke Quay,06-04-2024,22,95
FN,Funan,06-04-2024,22,255
PS,Plaza Singapura,06-04-2024,22,314
RCS,Raffles City,06-04-2024,22,846
TAO,The Atrium@Orchard,06-04-2024,22,81
BM,Bedok Mall,06-04-2024,22,207
TM,Tampines Mall,06-04-2024,22,505
BPP,Bukit Panjang Plaza,06-04-2024,22,299
J8,Junction 8,06-04-2024,22,241
LO,Lot One,06-04-2024,22,257
IMM,IMM,06-04-2024,22,1114
WG,Westgate,06-04-2024,22,460
CG,CapitaGreen,06-04-2024,22,179
CT,Capital Tower,06-04-2024,22,42
SBR,Six Battery Road,06-04-2024,22,142
CS,CapitaSpring,06-04-2024,22,341
