Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,05-04-2024,18,202
CQ,Clarke Quay,05-04-2024,18,151
FN,Funan,05-04-2024,18,187
PS,Plaza Singapura,05-04-2024,18,314
RCS,Raffles City,05-04-2024,18,517
TAO,The Atrium@Orchard,05-04-2024,18,13
BM,Bedok Mall,05-04-2024,18,57
TM,Tampines Mall,05-04-2024,18,333
BPP,Bukit Panjang Plaza,05-04-2024,18,192
J8,Junction 8,05-04-2024,18,71
LO,Lot One,05-04-2024,18,126
IMM,IMM,05-04-2024,18,472
WG,Westgate,05-04-2024,18,153
CG,CapitaGreen,05-04-2024,18,138
CT,Capital Tower,05-04-2024,18,69
SBR,Six Battery Road,05-04-2024,18,97
CS,CapitaSpring,05-04-2024,18,171
