Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,15-04-2024,11,229
CQ,Clarke Quay,15-04-2024,11,81
FN,Funan,15-04-2024,11,218
PS,Plaza Singapura,15-04-2024,11,484
RCS,Raffles City,15-04-2024,11,471
TAO,The Atrium@Orchard,15-04-2024,11,7
BM,Bedok Mall,15-04-2024,11,92
TM,Tampines Mall,15-04-2024,11,425
BPP,Bukit Panjang Plaza,15-04-2024,11,243
J8,Junction 8,15-04-2024,11,135
LO,Lot One,15-04-2024,11,222
IMM,IMM,15-04-2024,11,581
WG,Westgate,15-04-2024,11,315
CG,CapitaGreen,15-04-2024,11,59
CT,Capital Tower,15-04-2024,11,0
SBR,Six Battery Road,15-04-2024,11,35
CS,CapitaSpring,15-04-2024,11,154
