Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,07-04-2024,18,117
CQ,Clarke Quay,07-04-2024,18,173
FN,Funan,07-04-2024,18,159
PS,Plaza Singapura,07-04-2024,18,194
RCS,Raffles City,07-04-2024,18,608
TAO,The Atrium@Orchard,07-04-2024,18,52
BM,Bedok Mall,07-04-2024,18,2
TM,Tampines Mall,07-04-2024,18,64
BPP,Bukit Panjang Plaza,07-04-2024,18,97
J8,Junction 8,07-04-2024,18,35
LO,Lot One,07-04-2024,18,71
IMM,IMM,07-04-2024,18,258
WG,Westgate,07-04-2024,18,5
CG,CapitaGreen,07-04-2024,18,176
CT,Capital Tower,07-04-2024,18,32
SBR,Six Battery Road,07-04-2024,18,151
CS,CapitaSpring,07-04-2024,18,348
