Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,04-04-2024,10,278
CQ,Clarke Quay,04-04-2024,10,158
FN,Funan,04-04-2024,10,273
PS,Plaza Singapura,04-04-2024,10,556
RCS,Raffles City,04-04-2024,10,586
TAO,The Atrium@Orchard,04-04-2024,10,10
BM,Bedok Mall,04-04-2024,10,195
TM,Tampines Mall,04-04-2024,10,536
BPP,Bukit Panjang Plaza,04-04-2024,10,274
J8,Junction 8,04-04-2024,10,192
LO,Lot One,04-04-2024,10,269
IMM,IMM,04-04-2024,10,769
WG,Westgate,04-04-2024,10,398
CG,CapitaGreen,04-04-2024,10,75
CT,Capital Tower,04-04-2024,10,0
SBR,Six Battery Road,04-04-2024,10,63
CS,CapitaSpring,04-04-2024,10,203
