Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,11-04-2024,13,163
CQ,Clarke Quay,11-04-2024,13,56
FN,Funan,11-04-2024,13,140
PS,Plaza Singapura,11-04-2024,13,272
RCS,Raffles City,11-04-2024,13,277
TAO,The Atrium@Orchard,11-04-2024,13,7
BM,Bedok Mall,11-04-2024,13,28
TM,Tampines Mall,11-04-2024,13,281
BPP,Bukit Panjang Plaza,11-04-2024,13,140
J8,Junction 8,11-04-2024,13,30
LO,Lot One,11-04-2024,13,167
IMM,IMM,11-04-2024,13,368
WG,Westgate,11-04-2024,13,163
CG,CapitaGreen,11-04-2024,13,57
CT,Capital Tower,11-04-2024,13,63
SBR,Six Battery Road,11-04-2024,13,31
CS,CapitaSpring,11-04-2024,13,168
