Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,13-04-2024,19,80
CQ,Clarke Quay,13-04-2024,19,28
FN,Funan,13-04-2024,19,18
PS,Plaza Singapura,13-04-2024,19,39
RCS,Raffles City,13-04-2024,19,326
TAO,The Atrium@Orchard,13-04-2024,19,30
BM,Bedok Mall,13-04-2024,19,0
TM,Tampines Mall,13-04-2024,19,104
BPP,Bukit Panjang Plaza,13-04-2024,19,282
J8,Junction 8,13-04-2024,19,50
LO,Lot One,13-04-2024,19,96
IMM,IMM,13-04-2024,19,306
WG,Westgate,13-04-2024,19,0
CG,CapitaGreen,13-04-2024,19,141
CT,Capital Tower,13-04-2024,19,47
SBR,Six Battery Road,13-04-2024,19,143
CS,CapitaSpring,13-04-2024,19,269
