Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,01-04-2024,11,246
CQ,Clarke Quay,01-04-2024,11,141
FN,Funan,01-04-2024,11,232
PS,Plaza Singapura,01-04-2024,11,454
RCS,Raffles City,01-04-2024,11,569
TAO,The Atrium@Orchard,01-04-2024,11,0
BM,Bedok Mall,01-04-2024,11,113
TM,Tampines Mall,01-04-2024,11,433
BPP,Bukit Panjang Plaza,01-04-2024,11,235
J8,Junction 8,01-04-2024,11,144
LO,Lot One,01-04-2024,11,205
IMM,IMM,01-04-2024,11,628
WG,Westgate,01-04-2024,11,323
CG,CapitaGreen,01-04-2024,11,79
CT,Capital Tower,01-04-2024,11,38
SBR,Six Battery Road,01-04-2024,11,52
CS,CapitaSpring,01-04-2024,11,183
