Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,07-04-2024,22,244
CQ,Clarke Quay,07-04-2024,22,207
FN,Funan,07-04-2024,22,368
PS,Plaza Singapura,07-04-2024,22,607
RCS,Raffles City,07-04-2024,22,923
TAO,The Atrium@Orchard,07-04-2024,22,90
BM,Bedok Mall,07-04-2024,22,237
TM,Tampines Mall,07-04-2024,22,587
BPP,Bukit Panjang Plaza,07-04-2024,22,302
J8,Junction 8,07-04-2024,22,273
LO,Lot One,07-04-2024,22,270
IMM,IMM,07-04-2024,22,1138
WG,Westgate,07-04-2024,22,521
CG,CapitaGreen,07-04-2024,22,180
CT,Capital Tower,07-04-2024,22,31
SBR,Six Battery Road,07-04-2024,22,150
CS,CapitaSpring,07-04-2024,22,347
