Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,12-04-2024,20,50
CQ,Clarke Quay,12-04-2024,20,0
FN,Funan,12-04-2024,20,74
PS,Plaza Singapura,12-04-2024,20,67
RCS,Raffles City,12-04-2024,20,202
TAO,The Atrium@Orchard,12-04-2024,20,4
BM,Bedok Mall,12-04-2024,20,4
TM,Tampines Mall,12-04-2024,20,124
BPP,Bukit Panjang Plaza,12-04-2024,20,144
J8,Junction 8,12-04-2024,20,45
LO,Lot One,12-04-2024,20,106
IMM,IMM,12-04-2024,20,339
WG,Westgate,12-04-2024,20,43
CG,CapitaGreen,12-04-2024,20,125
CT,Capital Tower,12-04-2024,20,63
SBR,Six Battery Road,12-04-2024,20,115
CS,CapitaSpring,12-04-2024,20,162
