Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,01-04-2024,09,289
CQ,Clarke Quay,01-04-2024,09,219
FN,Funan,01-04-2024,09,338
PS,Plaza Singapura,01-04-2024,09,636
RCS,Raffles City,01-04-2024,09,751
TAO,The Atrium@Orchard,01-04-2024,09,33
BM,Bedok Mall,01-04-2024,09,212
TM,Tampines Mall,01-04-2024,09,582
BPP,Bukit Panjang Plaza,01-04-2024,09,289
J8,Junction 8,01-04-2024,09,245
LO,Lot One,01-04-2024,09,278
IMM,IMM,01-04-2024,09,909
WG,Westgate,01-04-2024,09,483
CG,CapitaGreen,01-04-2024,09,118
CT,Capital Tower,01-04-2024,09,0
SBR,Six Battery Road,01-04-2024,09,104
CS,CapitaSpring,01-04-2024,09,253
