Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,03-04-2024,22,192
CQ,Clarke Quay,03-04-2024,22,201
FN,Funan,03-04-2024,22,337
PS,Plaza Singapura,03-04-2024,22,609
RCS,Raffles City,03-04-2024,22,886
TAO,The Atrium@Orchard,03-04-2024,22,41
BM,Bedok Mall,03-04-2024,22,232
TM,Tampines Mall,03-04-2024,22,589
BPP,Bukit Panjang Plaza,03-04-2024,22,301
J8,Junction 8,03-04-2024,22,257
LO,Lot One,03-04-2024,22,286
IMM,IMM,03-04-2024,22,989
WG,Westgate,03-04-2024,22,524
CG,CapitaGreen,03-04-2024,22,176
CT,Capital Tower,03-04-2024,22,61
SBR,Six Battery Road,03-04-2024,22,29
CS,CapitaSpring,03-04-2024,22,163
